model_type,WINDOW,CNN_CHANNELS,KERNEL_SIZE,LSTM_HIDDEN,DROPOUT,LR,WEIGHT_DECAY,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
CNNLSTM,12,32,3,32,0.3,0.0005,0.0,5,12895.95712890625,4568.675675086391,19146.6494140625,5046.635534461425,5.113183498382568,2.205562086564884,0.12747181206941605,0.03624846964962837
CNNLSTM,12,32,5,64,0.3,0.001,0.0001,5,14942.8943359375,6930.86179803088,19249.3140625,7155.163149277307,6.069579410552978,2.8094709243801437,0.14855072945356368,0.06352060213862659
CNNLSTM,12,32,5,32,0.3,0.001,0.0,5,12465.36689453125,3948.6412523215245,19360.999609375,5035.730842632508,5.189967918395996,2.276482594391844,0.12577724754810332,0.03595682442832895
CNNLSTM,12,32,5,64,0.3,0.0005,0.0,5,13493.94521484375,5460.607438346287,19413.12890625,6528.631396108953,5.216027116775512,2.149308558724018,0.13547040671110153,0.049063450222505835
CNNLSTM,12,16,3,32,0.3,0.001,0.0001,5,14490.2521484375,7123.787946976696,19446.4103515625,7862.530794212997,5.580612993240356,2.4390968068702352,0.14351029545068741,0.06643369835205001
CNNLSTM,12,16,3,32,0.3,0.0005,0.0,5,14681.47255859375,7837.406707938944,19624.1650390625,8342.112644562281,5.450260353088379,2.5593468560040353,0.14474529772996902,0.07385917764607836
CNNLSTM,12,16,3,64,0.3,0.0005,0.0001,5,14965.02607421875,5243.482445123612,19701.6123046875,6379.850514930434,6.041311264038086,2.175035725023595,0.14778001755475997,0.04501507009055953
CNNLSTM,12,32,3,64,0.0,0.0005,0.0001,5,13826.73876953125,8253.676712007591,19795.095703125,9211.393559160219,5.707290506362915,3.9558317606965585,0.13634224683046342,0.07000555713198386
CNNLSTM,12,16,5,64,0.0,0.0005,0.0001,5,13389.81025390625,6636.607243831962,19817.0099609375,6949.035464516167,5.013449716567993,2.936647293158569,0.13203848600387574,0.05900871103604211
CNNLSTM,12,16,5,64,0.3,0.0005,0.0001,5,16188.6572265625,7438.343014158353,19819.086328125,6934.0828948644585,6.684540796279907,3.0511092596915383,0.15761636644601823,0.06408428809447694
CNNLSTM,12,32,3,64,0.3,0.0005,0.0,5,13742.15185546875,6330.6043074932895,19898.1375,7798.609616549231,5.710330533981323,3.3013910221587115,0.13536174297332765,0.05312485507445311
CNNLSTM,12,32,3,64,0.3,0.001,0.0001,5,15385.9142578125,7941.03286595891,19903.438671875,7808.126523787045,5.83777379989624,2.919326106819509,0.1528367057442665,0.07241107858521213
CNNLSTM,12,16,3,32,0.0,0.001,0.0,5,14982.47685546875,8334.026545497802,19979.6748046875,8401.965093995139,5.898837661743164,3.615505220751952,0.14829596430063247,0.07542455286494926
CNNLSTM,12,16,5,32,0.3,0.0005,0.0001,5,13751.49716796875,4345.957515017139,20000.67265625,6520.350294036521,5.587100315093994,1.9523565993651808,0.1371735379099846,0.0371686321884754
