model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,GATE_INIT,K_DIST,SIGMA_KM,K_CORR,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
TGCN_C1_GATED,18,32,0.0,0.001,0.0,0.8,8,,8,5,41082.7234375,4038.800808974007,66153.74375,3174.0920360781715,15.171569287776947,2.2188288931509343,0.42212109474639237,0.07251236461869776
TGCN_C1_GATED,12,64,0.0,0.0005,0.0001,0.8,8,60.0,8,5,40455.83359375,4351.379934244397,66198.0390625,4061.0147609484698,14.438356757164001,2.0384264506621563,0.41509190591781986,0.06777570250540034
TGCN_C1_GATED,12,64,0.3,0.0005,0.0,0.8,8,60.0,8,5,40329.328125,4399.697443827576,66208.05703125,2994.4001114050566,14.586952775716782,1.8907525400128329,0.41051090812320173,0.04103945211180528
TGCN_C1_GATED,12,64,0.0,0.0005,0.0,0.8,8,,8,5,40683.53515625,3371.060656226067,66275.50234375,2537.7471382181047,14.540891349315643,1.0597924482880967,0.4155708515839412,0.0454171543178452
TGCN_C1_GATED,18,64,0.0,0.0005,0.0001,0.8,8,,8,5,40395.678125,2642.4022249852837,66283.90703125,2840.9548769966596,14.288972914218903,1.3824677299331036,0.4167139521696316,0.07454726962000988
TGCN_C1_GATED,12,64,0.3,0.0005,0.0001,0.8,8,60.0,8,5,40022.51015625,3553.741832809676,66603.41484375,3457.441979029718,14.282106459140778,1.3782475430398498,0.40992809865418856,0.05829075051288049
TGCN_C1_GATED,12,32,0.3,0.001,0.0001,0.8,8,,8,5,39173.196875,2323.2989921092462,66758.02734375,1960.6961958571578,13.839562833309174,1.2455599331308185,0.40303362985141866,0.06305892460191519
TGCN_C1_GATED,12,64,0.0,0.0005,0.0001,0.8,8,,8,5,40808.74453125,2532.440115865636,66918.93203125,2614.8738543484797,14.523943364620209,1.2088132851003546,0.419453562133017,0.06390670978996713
TGCN_C1_GATED,18,64,0.0,0.0005,0.0,0.8,8,,8,5,41228.13359375,3621.8306447453206,67016.79453125,2988.3547454765157,14.805819988250732,1.862709644605457,0.4219015516306969,0.054261338560599184
TGCN_C1_GATED,18,32,0.0,0.001,0.0001,0.8,8,,8,5,41113.1015625,3445.1931744119797,67051.26953125,3331.7803592182895,14.954786002635956,2.0267515232779507,0.42184229003549933,0.06266274091408049
TGCN_C1_GATED,18,64,0.3,0.0005,0.0,0.8,8,60.0,8,5,41129.859375,4241.771124907452,67401.4421875,3017.441485266423,14.83299508690834,2.089621980877536,0.41964213880715456,0.049269228770694916
TGCN_C1_GATED,12,64,0.3,0.0005,0.0001,0.8,8,,8,5,41111.84921875,3064.0183777953707,67445.83828125,2712.369018339494,14.663136899471283,1.0577817523908646,0.42091278285694217,0.053468818636233074
TGCN_C1_GATED,12,32,0.3,0.001,0.0,0.8,8,,8,5,39661.7546875,4669.671024613536,67503.6515625,3561.2450499476117,14.181404709815979,1.7291885347056393,0.40285654373173363,0.03341640805924802
TGCN_C1_GATED,18,32,0.3,0.001,0.0001,0.8,8,60.0,8,5,40236.95625,6468.301090663887,67828.85390625,5930.686219095365,14.8338483273983,3.5928774557836314,0.41148800859160434,0.07264410596500785
TGCN_C1_GATED,18,64,0.3,0.0005,0.0,0.8,8,,8,5,41181.9125,3231.2899492490865,68075.59453125,3607.5032385149702,14.717594981193542,1.7477628400002623,0.42554139557730924,0.08285565942300747
TGCN_C1_GATED,18,32,0.3,0.001,0.0001,0.8,8,,8,5,40626.4859375,3539.6117389573533,68269.928125,2896.700150170037,14.62824136018753,1.3976192205965046,0.41571412177406,0.054597163432259864
TGCN_C1_GATED,18,32,0.3,0.001,0.0,0.8,8,60.0,8,5,40095.11328125,5995.982999113079,68331.97734375,5909.387935156966,14.515026211738586,3.027586317959347,0.4092199892073438,0.06189290349004979
TGCN_C1_GATED,18,32,0.3,0.001,0.0,0.8,8,,8,5,42272.6203125,5286.162615981128,69927.1859375,4054.1479837634106,15.46982854604721,2.7189964387777366,0.43026983035958716,0.0493200778346789
TGCN_C1_GATED,12,32,0.0,0.0005,0.0001,0.8,8,60.0,8,5,40313.415625,2595.0071958921767,70678.165625,2419.9294215651094,14.329091310501099,1.0728111284425934,0.4136649541857002,0.05742525285837196
TGCN_C1_GATED,12,32,0.0,0.0005,0.0,0.8,8,,8,5,40027.1453125,1652.474843357958,70838.64375,2498.931958212817,14.056801199913025,0.6777429457824374,0.41072821515502855,0.051675057114834236
TGCN_C1_GATED,18,32,0.0,0.0005,0.0001,0.8,8,,8,5,40287.08984375,1850.5962261405946,71017.7875,2474.2254926169176,14.175293743610382,0.5198371065939128,0.41304284864105983,0.05008526494281741
TGCN_C1_GATED,18,32,0.0,0.0005,0.0001,0.8,8,60.0,8,5,39654.4453125,2717.835337216173,71054.98125,1867.7433061598904,14.01261180639267,0.9018748629669829,0.4058607098020451,0.048450069498585734
TGCN_C1_GATED,18,32,0.0,0.0005,0.0,0.8,8,60.0,8,5,39767.00390625,2456.175996143098,71183.425,1606.0393264884704,14.064370691776276,1.208417620799543,0.4079181280917151,0.05452697720509406
TGCN_C1_GATED,12,32,0.0,0.0005,0.0,0.8,8,60.0,8,5,40362.9375,1774.8834373537397,71257.33125,3050.8770155768007,14.250893592834473,1.4829354694966155,0.41767175135660894,0.07801292005369662
TGCN_C1_GATED,18,32,0.3,0.0005,0.0001,0.8,8,60.0,8,5,41076.615625,3559.252197364064,72037.9015625,2741.1966638437607,14.667195975780487,1.1226805826392767,0.4191741135804749,0.044178371805018296
TGCN_C1_GATED,18,32,0.0,0.0005,0.0,0.8,8,,8,5,42800.5703125,1173.2525516205083,72522.265625,2945.2490627908055,15.326813459396362,0.9707460934335862,0.440654539153796,0.06485791608721257
TGCN_C1_GATED,12,32,0.0,0.0005,0.0001,0.8,8,,8,5,41081.43828125,3252.2126531962986,72532.95,3338.4961930333898,14.48762446641922,1.0889036331752446,0.4208805425972854,0.05622313890090848
TGCN_C1_GATED,12,32,0.3,0.0005,0.0,0.8,8,,8,5,41674.52421875,2318.923851447269,72695.9890625,2333.37333652953,14.79659765958786,1.364150001561921,0.4297691701780832,0.07332654726713139
TGCN_C1_GATED,12,32,0.3,0.0005,0.0,0.8,8,60.0,8,5,41189.93671875,3507.3957677686553,73148.621875,2847.429336340781,14.518470168113708,1.716290906188586,0.42415246298289455,0.07490952637483536
TGCN_C1_GATED,12,32,0.3,0.0005,0.0001,0.8,8,,8,5,41196.3609375,3184.4267775223484,73595.590625,2020.8888397200087,14.62152898311615,1.271631774321961,0.42149852199939114,0.050446513543024714
TGCN_C1_GATED,18,32,0.3,0.0005,0.0,0.8,8,60.0,8,5,43283.69609375,3409.604197522197,73734.1484375,2211.0636569020458,15.668742060661316,1.9817394978678922,0.4457720420909113,0.07363030911838703
TGCN_C1_GATED,12,32,0.3,0.0005,0.0001,0.8,8,60.0,8,5,42078.1390625,5771.152316865575,73999.8671875,4101.031379168514,15.20572543144226,2.4949387084956824,0.4274602410636919,0.04654680037755836
TGCN_C1_GATED,18,32,0.3,0.0005,0.0001,0.8,8,,8,5,41649.73046875,3560.9042595042097,74250.165625,2495.9539616637794,14.939942359924316,1.4476958056500553,0.42546302169333705,0.047705179578341625
TGCN_C1_GATED,18,32,0.3,0.0005,0.0,0.8,8,,8,5,43949.83046875,2806.0961354896785,74721.8703125,2854.1619029929075,15.688141882419586,1.3195054002409157,0.4524174144818517,0.07192240448768482
