model_type,lag_set,params,folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",5,13282.42489,2593.275568,19668.41852,1689.904489,4.794912952,1.428581053,1.001426002,0.195836103
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",5,13353.87194,2507.651624,19751.72782,1524.918865,4.824497834,1.411302951,1.00701273,0.190459517
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",5,13358.96529,2522.264617,19793.77987,1565.654591,4.822017245,1.419068575,1.007473182,0.19188254
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",5,13413.56303,2531.231091,19794.65077,1592.458686,4.831141591,1.403418805,1.011421368,0.191770709
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",5,13215.74432,2921.885955,19824.95554,3081.876499,4.926701781,1.387090254,1.022005073,0.232569835
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",5,13408.39841,2566.552195,19874.31297,1609.961907,4.833373358,1.430024391,1.011204635,0.195180325
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",5,13257.39053,2918.301771,19890.97091,3117.113597,4.934590997,1.391477776,1.025282471,0.232646553
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",5,13249.14586,2892.275129,19908.79914,3041.682931,4.940515168,1.391886447,1.024610865,0.230392549
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",5,13354.3071,2594.310157,19981.37889,1702.292673,4.80205982,1.418896508,1.007087733,0.197038228
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",5,13354.3071,2594.310157,19981.37889,1702.292673,4.80205982,1.418896508,1.007087733,0.197038228
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 250}",5,13433.15366,2608.776125,20024.61336,1823.702443,4.844016139,1.415022579,1.013017359,0.198035009
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 250}",5,13433.15366,2608.776125,20024.61336,1823.702443,4.844016139,1.415022579,1.013017359,0.198035009
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",5,13314.4308,2855.885221,20060.93614,2940.764484,4.971025813,1.383458206,1.029675625,0.228011536
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",5,13312.75678,2894.546268,20061.19487,3081.474043,4.971313289,1.398989875,1.029293891,0.229648146
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",5,13302.41263,2861.11797,20061.6871,3045.955153,4.965437798,1.375549647,1.028759927,0.228413756
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}",5,13570.01541,2585.319918,20139.69361,1559.54694,4.876281878,1.439038072,1.02359329,0.197577651
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",5,13328.91725,2937.674631,20210.32907,3266.671387,4.957639313,1.386981641,1.030732005,0.233775915
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",5,13422.80146,2947.152903,20250.02123,3264.322612,4.999690051,1.396925786,1.038028512,0.234907352
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",5,13426.86008,2907.114352,20407.50279,3255.907245,5.014287825,1.384757885,1.038414112,0.23208921
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",5,13379.7174,2978.06687,20421.53653,3338.885322,4.977579137,1.411648531,1.034773497,0.237367666
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",5,13360.80554,2978.713351,20435.71012,3165.359564,4.97427544,1.413330151,1.033158485,0.236716941
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",5,13466.57345,2995.935595,20440.32195,3274.581241,5.002286962,1.40698266,1.041624935,0.239483434
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",5,13469.30619,3031.21958,20510.90744,3508.902378,5.003572861,1.413947485,1.042052396,0.243177951
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}",5,13507.968,2930.436877,20538.73586,3210.681219,5.049553489,1.397329681,1.044785855,0.234425634
RandomForest,"(1, 12)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",5,13451.35159,3007.239559,20602.42249,3627.213326,4.999556996,1.4012267,1.040553871,0.240759723
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",5,14202.72889,2725.377364,20604.34072,1658.195034,5.128659069,1.595746389,1.070915652,0.206421632
RandomForest,"(1, 2, 12)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",5,14296.221,3275.712715,20634.77489,2490.164502,5.24952922,1.642169874,1.104844162,0.256398287
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",5,14194.85579,2756.178745,20662.33235,1670.014067,5.123890867,1.613584777,1.070375995,0.208951999
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",5,14249.13292,2697.013112,20674.49116,1653.783833,5.137913681,1.588284294,1.074534421,0.204909569
RandomForest,"(1, 2, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",5,14158.69821,2728.452066,20681.49443,1712.683867,5.107822744,1.600588082,1.067577452,0.206552845
